study;condition_arm1;condition_arm2;multi_arm1;multi_arm2;outcome_type;instrument;rating;instrument_symptom;primary_instrument;cov_time_point;study_time_point;time_weeks;time_days;primary_timepoint;post_crossover;n_arm1;mean_arm1;sd_arm1;n_arm2;mean_arm2;sd_arm2;n_change_arm1;mean_change_arm1;sd_change_arm1;n_change_arm2;mean_change_arm2;sd_change_arm2;event_arm1;totaln_arm1;event_arm2;totaln_arm2;baseline_m_arm1;baseline_sd_arm1;baseline_n_arm1;baseline_m_arm2;baseline_sd_arm2;baseline_n_arm2;d1;d2;d3;d4;d5;rob;year;drug_arm1;drug_arm2;dose_arm1;dose_arm2;name_arm1;name_arm2;n_dosing_sessions;cumulative_dose_arm1;cumulative_dose_arm2;dose_days;dose_weeks;mean_age;percent_women;diagnosis;target_group;design;blinding;doi;registration_number;full_ref;.id;.g;.g_se;.log_rr;.log_rr_se;.event_arm1;.event_arm2;.totaln_arm1;.totaln_arm2
Mitchell 2021;mdma;pcb;NA;NA;msd;caps-5;clinician;ptsd;1;Post-first dose 1;Week 4;4,00;28;0;NA;46;33,8;12,2081939696255;43;37,0;10,49190163888320;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;44,0;6,0100000000000;46;44,2;6,15000000000000;44;Low;Low;Low;Low;Low;Low;2021;MDMA;placebo;80 mg;80 mg;MDMA-assisted therapy;placebo with therapy;1;80;80;21;3,00;40,8791208791209;65,6230769230769;ptsd;severe ptsd;parallel;double-blind;10.1038/s41591-021-01336-3;NCT03537014;Mitchell, J.M., Bogenschutz, M., Lilienstein, A., Harrison, C., Kleiman, S., Parker-Guilbert, K., Ot'alora G, M., Garas, W., Paleos, C., Gorman, I., Nicholas, C., Mithoefer, M., Carlin, S., Poulter, B., Mithoefer, A., Quevedo, S., Wells, G., Klaire, S.S., van der Kolk, B., Tzarfaty, K., Amiaz, R., Worthy, R., Shannon, S., Woolley, J.D., Marta, C., Gelfand, Y., Hapke, E., Amar, S., Wallach, Y., Brown, R., Hamilton, S., Wang, J.B., Coker, A., Matthews, R., de Boer, A., Yazar-Klosinski, B., Emerson, A., Doblin, R. (2021). MDMA-assisted therapy for severe PTSD: a randomized, double-blind, placebo-controlled phase 3 study. Nat Med, 27(6), 1025-1033. https://doi.org/10.1038/s41591-021-01336-3;Mitchell2021_msd_caps-5_Week4_4.00_clinician_mdma_pcb_NA_NA;-0,27798448080229415;0,213158815826313;NA;NA;NA;NA;NA;NA
Mitchell 2021;mdma;pcb;NA;NA;msd;caps-5;clinician;ptsd;1;Post-second dose 1;Week 8;8,00;56;0;NA;42;26,3;12,3134073269749;39;33,5;12,48999599679680;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;44,0;6,0100000000000;46;44,2;6,15000000000000;44;Low;Low;Low;Low;Low;Low;2021;MDMA;placebo;120 mg;120 mg;MDMA-assisted therapy;placebo with therapy;2;200;200;21;3,00;40,8791208791209;65,6230769230769;ptsd;severe ptsd;parallel;double-blind;10.1038/s41591-021-01336-3;NCT03537014;Mitchell, J.M., Bogenschutz, M., Lilienstein, A., Harrison, C., Kleiman, S., Parker-Guilbert, K., Ot'alora G, M., Garas, W., Paleos, C., Gorman, I., Nicholas, C., Mithoefer, M., Carlin, S., Poulter, B., Mithoefer, A., Quevedo, S., Wells, G., Klaire, S.S., van der Kolk, B., Tzarfaty, K., Amiaz, R., Worthy, R., Shannon, S., Woolley, J.D., Marta, C., Gelfand, Y., Hapke, E., Amar, S., Wallach, Y., Brown, R., Hamilton, S., Wang, J.B., Coker, A., Matthews, R., de Boer, A., Yazar-Klosinski, B., Emerson, A., Doblin, R. (2021). MDMA-assisted therapy for severe PTSD: a randomized, double-blind, placebo-controlled phase 3 study. Nat Med, 27(6), 1025-1033. https://doi.org/10.1038/s41591-021-01336-3;Mitchell2021_msd_caps-5_Week8_8.00_clinician_mdma_pcb_NA_NA;-0,57517724082500854;0,227006968808158;NA;NA;NA;NA;NA;NA
Mitchell 2021;mdma;pcb;NA;NA;msd;caps-5;clinician;ptsd;1;Post-third dose 1;Week 18;18,00;126;1;NA;42;19,6;13,6095554666565;37;29,9;12,77380131362626;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;44,0;6,0100000000000;46;44,2;6,15000000000000;44;Low;Low;Low;Low;Low;Low;2021;MDMA;placebo;120 mg;120 mg;MDMA-assisted therapy;placebo with therapy;3;320;320;63;9,00;40,8791208791209;65,6230769230769;ptsd;severe ptsd;parallel;double-blind;10.1038/s41591-021-01336-3;NCT03537014;Mitchell, J.M., Bogenschutz, M., Lilienstein, A., Harrison, C., Kleiman, S., Parker-Guilbert, K., Ot'alora G, M., Garas, W., Paleos, C., Gorman, I., Nicholas, C., Mithoefer, M., Carlin, S., Poulter, B., Mithoefer, A., Quevedo, S., Wells, G., Klaire, S.S., van der Kolk, B., Tzarfaty, K., Amiaz, R., Worthy, R., Shannon, S., Woolley, J.D., Marta, C., Gelfand, Y., Hapke, E., Amar, S., Wallach, Y., Brown, R., Hamilton, S., Wang, J.B., Coker, A., Matthews, R., de Boer, A., Yazar-Klosinski, B., Emerson, A., Doblin, R. (2021). MDMA-assisted therapy for severe PTSD: a randomized, double-blind, placebo-controlled phase 3 study. Nat Med, 27(6), 1025-1033. https://doi.org/10.1038/s41591-021-01336-3;Mitchell2021_msd_caps-5_Week18_18.00_clinician_mdma_pcb_NA_NA;-0,77119460782592442;0,233827703340997;NA;NA;NA;NA;NA;NA
Mitchell 2021;mdma;pcb;NA;NA;response;caps-5;clinician;ptsd;1;Post-first dose 1;Week 4;4,00;28;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21;46;14;43;44,0;6,0100000000000;46;44,2;6,15000000000000;44;Low;Low;Low;Low;Low;Low;2021;MDMA;placebo;80 mg;80 mg;MDMA-assisted therapy;placebo with therapy;1;80;80;21;3,00;40,8791208791209;65,6230769230769;ptsd;severe ptsd;parallel;double-blind;10.1038/s41591-021-01336-3;NCT03537014;Mitchell, J.M., Bogenschutz, M., Lilienstein, A., Harrison, C., Kleiman, S., Parker-Guilbert, K., Ot'alora G, M., Garas, W., Paleos, C., Gorman, I., Nicholas, C., Mithoefer, M., Carlin, S., Poulter, B., Mithoefer, A., Quevedo, S., Wells, G., Klaire, S.S., van der Kolk, B., Tzarfaty, K., Amiaz, R., Worthy, R., Shannon, S., Woolley, J.D., Marta, C., Gelfand, Y., Hapke, E., Amar, S., Wallach, Y., Brown, R., Hamilton, S., Wang, J.B., Coker, A., Matthews, R., de Boer, A., Yazar-Klosinski, B., Emerson, A., Doblin, R. (2021). MDMA-assisted therapy for severe PTSD: a randomized, double-blind, placebo-controlled phase 3 study. Nat Med, 27(6), 1025-1033. https://doi.org/10.1038/s41591-021-01336-3;Mitchell2021_response_caps-5_Week4_4.00_clinician_mdma_pcb_NA_NA;-0,30273275641787578;0,242541090968737;0,3380238273126316;0,272126210901023;21;14;46;43
Mitchell 2021;mdma;pcb;NA;NA;response;caps-5;clinician;ptsd;1;Post-second dose 1;Week 8;8,00;56;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31;42;18;39;44,0;6,0100000000000;46;44,2;6,15000000000000;44;Low;Low;Low;Low;Low;Low;2021;MDMA;placebo;120 mg;120 mg;MDMA-assisted therapy;placebo with therapy;2;200;200;21;3,00;40,8791208791209;65,6230769230769;ptsd;severe ptsd;parallel;double-blind;10.1038/s41591-021-01336-3;NCT03537014;Mitchell, J.M., Bogenschutz, M., Lilienstein, A., Harrison, C., Kleiman, S., Parker-Guilbert, K., Ot'alora G, M., Garas, W., Paleos, C., Gorman, I., Nicholas, C., Mithoefer, M., Carlin, S., Poulter, B., Mithoefer, A., Quevedo, S., Wells, G., Klaire, S.S., van der Kolk, B., Tzarfaty, K., Amiaz, R., Worthy, R., Shannon, S., Woolley, J.D., Marta, C., Gelfand, Y., Hapke, E., Amar, S., Wallach, Y., Brown, R., Hamilton, S., Wang, J.B., Coker, A., Matthews, R., de Boer, A., Yazar-Klosinski, B., Emerson, A., Doblin, R. (2021). MDMA-assisted therapy for severe PTSD: a randomized, double-blind, placebo-controlled phase 3 study. Nat Med, 27(6), 1025-1033. https://doi.org/10.1038/s41591-021-01336-3;Mitchell2021_response_caps-5_Week8_8.00_clinician_mdma_pcb_NA_NA;-0,64996547624912471;0,262296863624152;0,4695074744352598;0,195864929533429;31;18;42;39
Mitchell 2021;mdma;pcb;NA;NA;response;caps-5;clinician;ptsd;1;Post-third dose 1;Week 18;18,00;126;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;37;42;23;37;44,0;6,0100000000000;46;44,2;6,15000000000000;44;Low;Low;Low;Low;Low;Low;2021;MDMA;placebo;120 mg;120 mg;MDMA-assisted therapy;placebo with therapy;3;320;320;63;9,00;40,8791208791209;65,6230769230769;ptsd;severe ptsd;parallel;double-blind;10.1038/s41591-021-01336-3;NCT03537014;Mitchell, J.M., Bogenschutz, M., Lilienstein, A., Harrison, C., Kleiman, S., Parker-Guilbert, K., Ot'alora G, M., Garas, W., Paleos, C., Gorman, I., Nicholas, C., Mithoefer, M., Carlin, S., Poulter, B., Mithoefer, A., Quevedo, S., Wells, G., Klaire, S.S., van der Kolk, B., Tzarfaty, K., Amiaz, R., Worthy, R., Shannon, S., Woolley, J.D., Marta, C., Gelfand, Y., Hapke, E., Amar, S., Wallach, Y., Brown, R., Hamilton, S., Wang, J.B., Coker, A., Matthews, R., de Boer, A., Yazar-Klosinski, B., Emerson, A., Doblin, R. (2021). MDMA-assisted therapy for severe PTSD: a randomized, double-blind, placebo-controlled phase 3 study. Nat Med, 27(6), 1025-1033. https://doi.org/10.1038/s41591-021-01336-3;Mitchell2021_response_caps-5_Week18_18.00_clinician_mdma_pcb_NA_NA;-0,82166521919922375;0,322390182950186;0,3486719910759308;0,140245274644251;37;23;42;37
Mitchell 2021;mdma;pcb;NA;NA;remission;caps-5;clinician;ptsd;1;Post-first dose 1;Week 4;4,00;28;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;46;1;43;44,0;6,0100000000000;46;44,2;6,15000000000000;44;Low;Low;Low;Low;Low;Low;2021;MDMA;placebo;80 mg;80 mg;MDMA-assisted therapy;placebo with therapy;1;80;80;21;3,00;40,8791208791209;65,6230769230769;ptsd;severe ptsd;parallel;double-blind;10.1038/s41591-021-01336-3;NCT03537014;Mitchell, J.M., Bogenschutz, M., Lilienstein, A., Harrison, C., Kleiman, S., Parker-Guilbert, K., Ot'alora G, M., Garas, W., Paleos, C., Gorman, I., Nicholas, C., Mithoefer, M., Carlin, S., Poulter, B., Mithoefer, A., Quevedo, S., Wells, G., Klaire, S.S., van der Kolk, B., Tzarfaty, K., Amiaz, R., Worthy, R., Shannon, S., Woolley, J.D., Marta, C., Gelfand, Y., Hapke, E., Amar, S., Wallach, Y., Brown, R., Hamilton, S., Wang, J.B., Coker, A., Matthews, R., de Boer, A., Yazar-Klosinski, B., Emerson, A., Doblin, R. (2021). MDMA-assisted therapy for severe PTSD: a randomized, double-blind, placebo-controlled phase 3 study. Nat Med, 27(6), 1025-1033. https://doi.org/10.1038/s41591-021-01336-3;Mitchell2021_remission_caps-5_Week4_4.00_clinician_mdma_pcb_NA_NA;-0,75769632208333348;0,628035742187349;1,3188530803243579;1,097727222770634;4;1;46;43
Mitchell 2021;mdma;pcb;NA;NA;remission;caps-5;clinician;ptsd;1;Post-second dose 1;Week 8;8,00;56;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;42;2;39;44,0;6,0100000000000;46;44,2;6,15000000000000;44;Low;Low;Low;Low;Low;Low;2021;MDMA;placebo;120 mg;120 mg;MDMA-assisted therapy;placebo with therapy;2;200;200;21;3,00;40,8791208791209;65,6230769230769;ptsd;severe ptsd;parallel;double-blind;10.1038/s41591-021-01336-3;NCT03537014;Mitchell, J.M., Bogenschutz, M., Lilienstein, A., Harrison, C., Kleiman, S., Parker-Guilbert, K., Ot'alora G, M., Garas, W., Paleos, C., Gorman, I., Nicholas, C., Mithoefer, M., Carlin, S., Poulter, B., Mithoefer, A., Quevedo, S., Wells, G., Klaire, S.S., van der Kolk, B., Tzarfaty, K., Amiaz, R., Worthy, R., Shannon, S., Woolley, J.D., Marta, C., Gelfand, Y., Hapke, E., Amar, S., Wallach, Y., Brown, R., Hamilton, S., Wang, J.B., Coker, A., Matthews, R., de Boer, A., Yazar-Klosinski, B., Emerson, A., Doblin, R. (2021). MDMA-assisted therapy for severe PTSD: a randomized, double-blind, placebo-controlled phase 3 study. Nat Med, 27(6), 1025-1033. https://doi.org/10.1038/s41591-021-01336-3;Mitchell2021_remission_caps-5_Week8_8.00_clinician_mdma_pcb_NA_NA;-0,50036634225998045;0,478753535612198;0,8421827597204331;0,806566457614901;5;2;42;39
Mitchell 2021;mdma;pcb;NA;NA;remission;caps-5;clinician;ptsd;1;Post-third dose 1;Week 18;18,00;126;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;14;42;2;37;44,0;6,0100000000000;46;44,2;6,15000000000000;44;Low;Low;Low;Low;Low;Low;2021;MDMA;placebo;120 mg;120 mg;MDMA-assisted therapy;placebo with therapy;3;320;320;63;9,00;40,8791208791209;65,6230769230769;ptsd;severe ptsd;parallel;double-blind;10.1038/s41591-021-01336-3;NCT03537014;Mitchell, J.M., Bogenschutz, M., Lilienstein, A., Harrison, C., Kleiman, S., Parker-Guilbert, K., Ot'alora G, M., Garas, W., Paleos, C., Gorman, I., Nicholas, C., Mithoefer, M., Carlin, S., Poulter, B., Mithoefer, A., Quevedo, S., Wells, G., Klaire, S.S., van der Kolk, B., Tzarfaty, K., Amiaz, R., Worthy, R., Shannon, S., Woolley, J.D., Marta, C., Gelfand, Y., Hapke, E., Amar, S., Wallach, Y., Brown, R., Hamilton, S., Wang, J.B., Coker, A., Matthews, R., de Boer, A., Yazar-Klosinski, B., Emerson, A., Doblin, R. (2021). MDMA-assisted therapy for severe PTSD: a randomized, double-blind, placebo-controlled phase 3 study. Nat Med, 27(6), 1025-1033. https://doi.org/10.1038/s41591-021-01336-3;Mitchell2021_remission_caps-5_Week18_18.00_clinician_mdma_pcb_NA_NA;-1,18417603304079844;0,439583861920276;1,8191584434161694;0,721520630745941;14;2;42;37
Mitchell 2023;mdma;pcb;NA;NA;change;caps-5;clinician;ptsd;0;Post-third dose 1;Week 18;18,00;126;0;NA;NA;NA;NA;NA;NA;NA;52;-23,7;11,957185352304;42;-14,8;11,5727512471569;NA;NA;NA;NA;39,5;13,1041978007049;53;38,7;7,77817459305202;50;Low;Low;Low;Low;Low;Low;2023;MDMA;placebo;120 mg;120 mg;MDMA-AT;placebo with therapy;3;320;320;63;9,00;39,0826923076923;71,1884615384615;ptsd;moderate to severe ptsd;parallel;double-blind;10.1038/s41591-023-02565-4;NCT04077437;Mitchell, J.M., Ot'alora G, M., van der Kolk, B., Shannon, S., Bogenschutz, M., Gelfand, Y., Paleos, C., Nicholas, C.R., Quevedo, S., Balliett, B., Hamilton, S., Mithoefer, M., Kleiman, S., Parker-Guilbert, K., Tzarfaty, K., Harrison, C., de Boer, A., Doblin, R., Yazar-Klosinski, B. (2023). MDMA-assisted therapy for moderate to severe PTSD: a randomized, placebo-controlled phase 3 trial. Nat Med, 29(10), 2473-2480, https://doi.org/10.1038/s41591-023-02565-4;Mitchell2023_change_caps-5_Week18_18.00_clinician_mdma_pcb_NA_NA;-0,74887084989841535;0,214645487233101;NA;NA;NA;NA;NA;NA
